﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},过量{0}
LQ_BillberrySyrup_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_BillberrySyrup_SpecialDurability1.CardStatName,Sweetness,甜味
LQ_BillberrySyrup_SpecialDurability2.CardStatName,Quality,品质
LQ_BillberrySyrup_SpecialDurability3.CardStatName,Wine,酒
LQ_BillberrySyrup_CardInteractions[0].ActionName,Add,添加
LQ_BillberrySyrup_DismantleActions[0].ActionName,Drink,饮用
LQ_BillberryWine_CardName,Billberry Wine,越橘酒
LQ_BillberryWine_CardDescription,An alcoholic drink made from Billberries. \n\nDrink in moderation!,由越橘制作而成的酒精饮料。\n\n适量饮用！
LQ_BillberryWine_SpoilageTime.CardStatName,Bacteria,细菌
LQ_BillberryWine_SpoilageTime.OnFull.ActionDescription,Billberry Wine Spoiled!,越橘酒变质了！
LQ_BillberryWine_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_BillberryWine_SpecialDurability1.CardStatName,Sweetness,甜味
LQ_BillberryWine_SpecialDurability2.CardStatName,Quality,品质
LQ_BillberryWine_SpecialDurability3.CardStatName,Alcohol,酒精
LQ_BillberryWine_CardInteractions[0].ActionName,Add,添加
LQ_BillberryWine_DismantleActions[0].ActionName,Drink,饮用
LQ_SpringberryMust_CardName,Springberry Must,春莓汁
LQ_SpringberryMust_CardDescription,Can be fermented in a Fermenting Bin to produce Wine or concentrated into Syrup.,可以在发酵桶中发酵成酒或进一步浓缩成糖浆。
LQ_SpringberryMust_SpoilageTime.CardStatName,Bacteria,细菌
LQ_SpringberryMust_SpoilageTime.OnFull.ActionDescription,Springberry Sap Spoiled!,春莓汁变质了！
LQ_SpringberryMust_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_SpringberryMust_SpecialDurability1.CardStatName,Sweetness,甜味
LQ_SpringberryMust_SpecialDurability2.CardStatName,Quality,品质
LQ_SpringberryMust_SpecialDurability3.CardStatName,Wine,酒
LQ_SpringberryMust_CardInteractions[0].ActionName,Add,添加
LQ_SpringberryMust_DismantleActions[0].ActionName,Drink,饮用
LQ_SpringberrySyrup_CardName,Springberry Syrup,春莓糖浆
LQ_SpringberrySyrup_CardDescription,Can be used to sweeten foods.,可用于为食物增甜。
LQ_SpringberrySyrup_SpoilageTime.CardStatName,Bacteria,细菌
LQ_SpringberrySyrup_SpoilageTime.OnFull.ActionDescription,Springberry Syrup Spoiled!,春莓糖浆变质了！
LQ_SpringberrySyrup_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_SpringberrySyrup_SpecialDurability1.CardStatName,Sweetness,甜味
LQ_SpringberrySyrup_SpecialDurability2.CardStatName,Quality,品质
LQ_SpringberrySyrup_SpecialDurability3.CardStatName,Wine,酒
LQ_SpringberrySyrup_CardInteractions[0].ActionName,Add,添加
LQ_SpringberrySyrup_DismantleActions[0].ActionName,Drink,饮用
LQ_SpringberryWine_CardName,Springberry Wine,春莓酒
LQ_SpringberryWine_CardDescription,An alcoholic drink made from Springberries. \n\nDrink in moderation!,由春莓制作而成的酒精饮料。\n\n适量饮用！
LQ_SpringberryWine_SpoilageTime.CardStatName,Bacteria,细菌
LQ_SpringberryWine_SpoilageTime.OnFull.ActionDescription,Springberry Wine Spoiled!,春莓酒变质了！
LQ_SpringberryWine_FuelCapacity.CardStatName,Liquid Temperature,液体温度
LQ_SpringberryWine_SpecialDurability1.CardStatName,Sweetness,甜味
LQ_SpringberryWine_SpecialDurability2.CardStatName,Quality,品质
LQ_SpringberryWine_SpecialDurability3.CardStatName,Alcohol,酒精
LQ_SpringberryWine_CardInteractions[0].ActionName,Add,添加
LQ_SpringberryWine_DismantleActions[0].ActionName,Drink,饮用
Spice_BillberryMust_SpiceName,Billberry Must,越橘汁
Spice_BillberrySyrup_SpiceName,Billberry Syrup,越橘糖浆
Spice_BillberryWine_SpiceName,Billberry Wine,越橘酒
Spice_SpringberryMust_SpiceName,Springberry Must,春莓汁
Spice_SpringberrySyrup_SpiceName,Springberry Syrup,春莓糖浆
Spice_SpringberryWine_SpiceName,Springberry Wine,春莓酒
Spice_WolfsbanePowder_SpiceName,Wolfsbane,乌头
NewsEARelease32_PageTitle,Quern-Stones and Patch Notes #30,石磨和更新日志 #30
NewsEARelease32_Sections[0].Entries[0].Content,"Hello everyone!\n\nNew patch today.\nHere are some of the highlights for today and the last two hotfixes:\n\n\n<size=125%>Quern-stones:</size>\nWe've added two devices for grinding things more efficiently. One is a Saddle Quern that allows you grind 3 items at once, the other a Rotary Quern which allows you to grind 6 items at once. These new tools should make making flour and powders a lot easier, and will come in handy once rye gets introduced a few patches from now.\n\n<size=125%>Bacteria Balancing:</size>\nWe've greatly reduced the amount of bacteria you can get from food and made it so that roasting, boiling and drying food items can reduce it further. We have also fixed multiple bugs related to it, made other minor tweaks and inverted stack sorting so that the most spoiled food items can appear on top.\n\n<size=125%>Additional Things:</size>\nYou can now also use Billberries and Springberries to make wine and syrup. First you need to turn them into a pulp and mix them with water to create the berry must. This can then be fermented in a fermenting bin to make wine or concentrated in a fire to make syrup, just like with Birch Sap.\nYou can now also dry Acorn Dough in Ovens to make Hardtack, a longer lasting type of bread.\n\n\n<size=150%>Version EA_0.35 + the last two Hotfixes:</size>\n\n- Food now sorts properly with less fresh items appearing on top.\n- Added Springberry and Billberry Wine and Syrup.\n- Added Acorn Hardtack.\n- Saddle Querns and Rotary Querns are now available.\n- Boiling and Roasting raw Eggs now removes all the spoilage from them\n- Drying and Cooking Food items now removes more Spoilage than it used to (in some items more than in others).\n- Partridges can no longer be put inside storage containers, bags and shelves (this change is temporary). \n- Climbing Trees now has a light requirement.\n- Travois and Tree Logs can no longer be placed inside Storage Pots.\n- Wolfsbane can now be eaten and its powder can be added as a spice (don't do it though!).\n- You can no longer die from a heatstroke after eating too much hot food in a short period of time.\n\n- Significantly reduced the amount of Bacteria you get when eating food.\n- Renamed Bacteria durability to Spoilage (it's still the new system though).\n- Fermentation Bin now properly stops bacteria growth of items fermenting inside it.\n- Fixed the bug which caused Syrup and Wine to spoil too fast.\n- Foods Cooked in Oven will now have higher quality than those cooked in Campfires and Fireplaces.\n- Fixed a bug which caused a Wolf Pack to sometimes get stuck in the Shady Bank.\n- Fixed a bug which caused the egg hatching progress to get stuck.\n- Player presence now increases animal trust at a much faster rate than before.\n- Fishing: Fishing Bait are now working properly with new system.\n- Water levels during rain should now only increase inside the Water Cistern.\n\n- Pushed a fix for the disappearing items problem. (If it does not work right away try reloading from the most recent checkpoint)\n- Fixed a bug which caused teas made from old herbs to spoil prematurely. \n- Fixed a bug which caused Intermediate Gardening to unlock at the start of the game.\n\n\nThat's all for now!\nSee you next week!",大家好！\n\n今天发布了新更新。\n以下是今天和最近两个热修的重点内容：\n\n\n<size=125%>石磨：</size>\n我们添加了两种研磨工具，以提高研磨效率。一种是鞍型石磨，一次可以研磨3件物品；另一种是盘型石磨，一次可以研磨6件物品。这些新工具应该可以让制作面粉和研磨粉末变得更加容易，并且会在之后更新黑麦时大有用场。\n\n<size=125%>细菌平衡：</size>\n我们大幅减少了食物中的细菌数量，并使烘烤、煮沸和干燥食物可以进一步减少细菌数量。我们还修复了多个与此相关的bug，并进行了其他一些细微调整，并调整了堆叠排序，现在最不新鲜的食物会显示在堆叠顶端。\n\n<size=125%>其他内容：</size>\n现在您还可以使用越橘和春莓酿造酒和糖浆。首先，您需要将它们磨成浆，然后与水混合制成浆果汁。然后，您可以将其放入发酵桶中发酵成酒，或者像桦树汁一样，加热浓缩制成糖浆。\n现在您还可以在烤箱中烘干橡果面团，制作压缩饼干，这是一种更耐保存的面食。\n\n\n<size=150%>版本 EA_0.35 + 前俩热修：</size>\n\n- 堆叠的食物现在可以正确按照新鲜度排序。\n- 添加了春莓、越橘酒及其糖浆。\n- 添加了橡子压缩饼干。\n- 添加了鞍型石磨和盘型石磨。\n- 水煮、烤蛋现在可以清零变质程度。\n- 烘干和烹饪食物现在可以去除比以前更多的腐败物（某些食物的腐败物去除效果比其他食物更好）。\n- 灰山鹑现在不再能放入储物容器、袋子和架子中（临时改动）。\n- 现在需要有光才能爬树。\n- 雪橇和原木不再能放入储物罐中。\n- 乌头现在可以食用，其粉末可以作为香料添加（但不要这样做！）。\n- 角色不再会在短时间内食用过多热食后热死。\n\n- 显著减少了食用食物时摄入的细菌量。\n- 将“细菌耐久”重命名为“变质”（但这仍然是新系统）。\n- 发酵桶现在可以正确阻止在其中发酵的物品的细菌滋生。\n- 修复了导致糖浆和酒变质过快的bug。\n- 现在烤箱烹制的食物品质将高于营火和壁炉烹制的食物。\n- 修复了导致狼群有时卡在幽荫河畔的bug。\n- 修复了导致蛋孵化进度卡住的bug。\n- 现在玩家在场时动物的信任度会增长的更快了。\n- 鱼饵现在可在新系统中正常工作。\n- 现在雨天时的水位只会在雨水窖内上升。\n\n- 推送了物品消失bug的热修。（如果热修没有立即生效，请尝试从最近的存档点重新加载）\n- 修复了导致用旧材料泡的茶过早变质的bug。\n- 修复了导致中级园艺在游戏开始时就解锁的bug。\n\n\n目前就这些！\n下周见！
Bp_FishLure_CardName,Fish Lure,路亚饵
Bp_FishLure_CardDescription,Can be equipped to a fishing line to substantially increase your chances of catching fish.,可以装在钓鱼线上，大大增加你钓到鱼的成功率。
Bp_FishLure_UnlockConditionsDesc,Fishing Bait Needed ,需要鱼饵
Bp_FlyLure_CardName,Fly Lure,飞虫饵
Bp_FlyLure_CardDescription,Can be equipped to a fishing line to substantially increase your chances of catching fish.,可以装在钓鱼线上，大大增加你钓到鱼的成功率。
Bp_FlyLure_UnlockConditionsDesc,Fishing Bait Needed,需要鱼饵
Bp_FunnelTrap_CardName,Funnel Trap,鱼篓陷阱
Bp_FunnelTrap_CardDescription,Useful for catching fish. Must be deployed in the water to work.,用于捕鱼。必须部署在水中才能发挥作用。
Bp_FunnelTrap_UnlockConditionsDesc,More Weaving Needed,需要更高的编织技能
FishLure_CardName,Fish Lure,路亚饵
FishLure_CardDescription,Can be equipped to a fishing line to substantially increase your chances of catching fish.,可以装在钓鱼线上，大大增加你钓到鱼的成功率。
FlyLure_CardName,Fly Lure,飞虫饵
FlyLure_CardDescription,Can be equipped to a fishing line to substantially increase your chances of catching fish.,可以装在钓鱼线上，大大增加你钓到鱼的成功率。
StoneBurnt_SpecialDurability3.CardStatName,Mill,研磨
StoneHeavyBurnt_SpecialDurability3.CardStatName,Mill,研磨
LQ_WaterRiver_FuelCapacity.OnFull.ActionDescription,River water has boiled!,河水煮沸了！
LQ_WaterUnsafe_FuelCapacity.OnFull.ActionDescription,Unsafe water has boiled!,不安全的水煮沸了！
FunnelTrap_CardName,Funnel Trap,鱼篓陷阱
FunnelTrap_CardDescription,Useful for catching fish. Must be deployed in the water to work.,用于捕鱼。必须部署在水中才能发挥作用。
FunnelTrapLocation_CardName,Funnel Trap,鱼篓陷阱
FunnelTrapLocation_CardDescription,Useful for catching fish. Must be retrieved to access its contents.,用于捕鱼。需拿起检查以获取内容物。
FunnelTrapLocation_SpecialDurability1.CardStatName,Common Fish Population,常见鱼类种群
FunnelTrapLocation_DismantleActions[0].ActionName,Drag out,拖出
FunnelTrapLocation_CookingRecipes[0].CustomNotification,Trap Triggered!,陷阱触发了！
FrozenRiver_SpecialDurability1.CardStatName,Common Fish Population,常见鱼类种群
FrozenRiver_SpecialDurability2.CardStatName,Uncommon Fish Population,罕见鱼类种群数量
FrozenRiver_SpecialDurability3.CardStatName,Rare Fish Population,珍稀鱼类种群数量
FrozenRiver_CardInteractions[1].RequiredReceivingDurabilities.FailMessage,Hole already exists!,已经有冰洞了！
IceHoleRiver_SpecialDurability1.CardStatName,Common Fish Population,常见鱼类种群
IceHoleRiver_SpecialDurability2.CardStatName,Uncommon Fish Population,罕见鱼类种群数量
IceHoleRiver_SpecialDurability3.CardStatName,Rare Fish Population,珍稀鱼类种群数量
IceHoleRiver_CardInteractions[0].ActionName,Fish,钓鱼
IceHoleRiver_CardInteractions[0].ProducedCards[0].CollectionMessages[0],No luck...,运气不佳……
IceHoleRiverFrozen_CardName,Frozen Ice Hole,冻结的冰洞
IceHoleRiverFrozen_CardDescription,Should open a hole on it with a hammer tool to get water or fish.,应该用锤击工具在上面开一个洞，以便取水或捕鱼。
IceHoleRiverFrozen_SpecialDurability1.CardStatName,Common Fish Population,常见鱼类种群
IceHoleRiverFrozen_SpecialDurability2.CardStatName,Uncommon Fish Population,罕见鱼类种群数量
IceHoleRiverFrozen_SpecialDurability3.CardStatName,Rare Fish Population,珍稀鱼类种群数量
IceHoleRiverFrozen_CardInteractions[0].ActionName,Open,凿开
IceHoleRiverFrozen_DismantleActions[0].ActionName,Gaze at Water,凝视水面
River_SpecialDurability2.CardStatName,Uncommon Fish Population,罕见鱼类种群数量
River_SpecialDurability3.CardStatName,Rare Fish Population,珍稀鱼类种群数量
River_CardInteractions[8].ActionName,Deploy Trap,放置陷阱
River_CardInteractions[3].ProducedCards[0].CollectionMessages[0],No luck...,运气不佳……
FishingLightAmount_Statuses[0].GameName,Night,夜晚
FishingLightAmount_Statuses[1].GameName,Dusk or Dawn,黄昏或黎明
tag_PerchHabitat_InGameName,Perch Habitat,鲈鱼栖息地
tag_TroutHabitat_InGameName,Trout Habitat,鳟鱼栖息地
NewsEARelease33_PageTitle,Fishing Improvements and Patch Notes #31,钓鱼改进和更新日志 #31
NewsEARelease33_Sections[0].Entries[0].Content,"Hello everyone!\n\nNew update!\n\nThe highlights are all fish oriented.\n\n<size=150%>Fishing Improvements:</size>\nAreas have been made a bit more distinctive fishing-wise and now have their own more limited fish populations. As a result fishing is now generally easier provided you alternate your fishing spots and don't overfish too much, so that populations can have a chance to recover.\n\nIn addition to this we've also added a couple artificial lures and a funnel trap that can be deployed in the river and passively catch fish for you.\n\n\n<size=150%>Version EA_0.36:</size>\n\n- Further reduced the occurrence of the ""payload is too big"" error in the bug report system.\n- Food items should no longer increase spoilage when being processed and there have been new tweaks to the amount of bacteria removed when cooking or boiling.\n- Improvements and rebalancing of the fishing system.\n- Added the funnel trap and the two new lures.\n- Fixed an issue which made it hard for Female Boars to get pregnant in the open.\n- Animals no longer get a happiness penalty from feeling overcrowded when outdoors.\n- Animals are now properly getting a happiness bonus when grazing outdoors.\n- It is no longer possible to place live boars inside storage pots, baskets and sacks.\n- Tranquilizer Coating now has proper name when applied to a Weapon.\n- Milling Bones inside a Quern now gives proper amounts of Bonemeal.\n- Burnt stones can now be milled inside Querns.\n- Unsafe and River Water now display a proper message when boiled.\n- Significantly reduced liquid capacity of Storage Pots.\n- Rain Cistern is now much bigger and collects Rain Water faster but the liquid capacity of Storage Pots has been reduced.\n- Eating Foods Spiced with Frostleaf Powder now properly gives the Frostleaf Effect.\n- Tweaked Egg saturation.\n\n\nThat's all for now!\nSee you all for the next patch!",大家好！\n\n新更新来啦！\n\n本次更新的重点是鱼。\n\n<size=150%>钓鱼改进：</size>\n各个区域在钓鱼上更加独特，鱼的种群数量也更加有限。所以，您需时不时更换钓鱼地点以避免过度捕捞，这样更容易上鱼的同时鱼群数量也更易恢复。\n\n\n此外，我们还添加了几种路亚饵和一种漏斗状的陷阱，其可放置在河中，静待鱼儿闯入其中。\n\n\n<size=150%>版本 EA_0.36 ：</size>\n\n- 进一步降低了bug反馈系统中“包裹过大”情况的发生率。\n- 食物在加工过程中不会再增加变质程度，并且对烹饪和水煮时去除的细菌量进行了新的调整。\n- 钓鱼系统的改进和平衡性调整。\n- 添加了漏斗陷阱和两种新的路亚饵。\n- 修复了母野猪在开阔场景难以怀孕的问题。\n- 动物不再会在户外感到拥挤时减少幸福感。\n- 现在动物在户外觅食时能获得幸福感了。\n- 不再能够将活野猪放入储物罐、编制篓和袋子中。\n- 现在麻醉涂层涂抹于武器时显示正确的名称了。\n- 现在在石磨中研磨骨头时能获得正确数量的骨粉了。\n- 煅烧后的石头现在可以在石磨中研磨。\n- 现在不安全的水和河水煮沸后会显示正确的信息。\n- 显著减少了储物罐的液体容量。\n- 雨水窖现在容量更大，收集雨水的速度更快，同时储物罐的液体容量减少了。\n- 添加了霜叶粉的食物现在会正确地给予霜叶效果。\n- 调整了鸡蛋的厌倦度。\n\n\n目前就这些了！\n下个更新再见！
Bp_WindBlessing_CardName,Blessing,赐福
Bp_WindBlessing_CardDescription,"Boosts your alertness, dodge and stamina recovery. ",增强警觉度、闪避能力和耐力恢复。
Bp_WindBlessing_BuildingContainerDurabilitiesConditions.FailMessage,Carcass has no spirit.,尸体没有精魄。
Bp_WindEnchantment_CardName,Wind Enchantment,风附魔
Bp_WindEnchantment_CardDescription,"Enchants an object with the blessings of a wind spirit, boosting your alertness, dodge and stamina recovery.",用风精魄的赐福附魔一件物品，提高你的警觉度、闪避能力和耐力恢复。
Bp_WindEnchantment_BuildingContainerDurabilitiesConditions.FailMessage,Carcass has no spirit.,尸体没有精魄。
Bp_WindSummoning_CardName,Summoning Ritual,召唤仪式
Bp_WindSummoning_CardDescription,"Temporarily binds a wind spirit to your soul, making you both a bit more like the other.",暂时将风精魄融入你的灵魂，使你们融为一体。
WindStep_ActionName,Wind Step,风行步伐
WindStep_ActionSuccessLog.LogText,a,a
WindStep_ActionFailureLog.LogText,your {1}'s power was not strong enough!,你的{1}之力不够强！
Env_GrovePine_HighGrove_CardName,High Grove,高地林地
Env_GrovePine_MountainGrove_CardName,Mountain Grove,山地林地
Env_River_ThicketPine_SouthernRapids_CardName,Southern Rapids,南部湍流
